+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                              URI                                              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)   |  AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/courses/01HB0B8EPHMM8CNSWER8PQ61WZ/classes/01HB0B8TCGPW4KP8ACYR5MKH3R/assignments/export | 0.200 | 0.200 | 0.200   | 0.200 | 0.200 | 0.200 | 0.200 | 0.000  | 306815.000  | 306815.000  | 306815.000   | 306815.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | PUT    | /api/courses/01HB0B7A5AN6WBZJBTVS2VMHAF/classes/01HB0B8TZ25VW62R28QRYPD6XS/assignments/scores | 0.044 | 0.044 | 0.044   | 0.044 | 0.044 | 0.044 | 0.044 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/courses/01HB0B8E9C30SZ5DGMGX5CDR4A/classes/01HB0B8R1C7Z1D9S54H75HGCFC/assignments/export | 2.480 | 2.480 | 2.480   | 2.480 | 2.480 | 2.480 | 2.480 | 0.000  | 329958.000  | 329958.000  | 329958.000   | 329958.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/courses/01HB0B7A7XXKVST73W0N9VH0WK/classes/01HB0B8RXVE7W54WGCJTKA9E7E/assignments/export | 2.264 | 2.264 | 2.264   | 2.264 | 2.264 | 2.264 | 2.264 | 0.000  | 565376.000  | 565376.000  | 565376.000   | 565376.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/courses/01HB0B8KVA3E6V3F9HDE6BETGQ/classes                                               | 2.660 | 2.660 | 2.660   | 2.660 | 2.660 | 2.660 | 2.660 | 0.000  | 42.000      | 42.000      | 42.000       | 42.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | PUT    | /api/courses/01HB0B78VQMG7EVJZT78R82VMK/classes/01HB0B8RGYBBB0MESXBW34ZMAT/assignments/scores | 2.244 | 2.244 | 2.244   | 2.244 | 2.244 | 2.244 | 2.244 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/courses/01HB0B8KY58C2Q97EKK2S102AV/classes                                               | 0.496 | 0.496 | 0.496   | 0.496 | 0.496 | 0.496 | 0.496 | 0.000  | 42.000      | 42.000      | 42.000       | 42.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | PUT    | /api/courses/01HB0B8GAAZW0XAKW4T5Z6GKVE/classes/01HB0B8WF0SK22ZWZEB6SZ14BG/assignments/scores | 2.292 | 2.292 | 2.292   | 2.292 | 2.292 | 2.292 | 2.292 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | PUT    | /api/courses/01HB0B8ERAHGSZZ9TMVY83MP9B/classes/01HB0B8QNX7NQDPDD4VM3J633R/assignments/scores | 0.100 | 0.100 | 0.100   | 0.100 | 0.100 | 0.100 | 0.100 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
