+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                              URI                                              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)   |  AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| 1     | 0   | 1    | 0   | 0   | 0   | PUT    | /api/courses/01HB0HJMJ6Z4DYXT8CZ3H5K9EP/status                                                | 0.600 | 0.600 | 0.600   | 0.600 | 0.600 | 0.600 | 0.600 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | PUT    | /api/courses/01HB0HJPKSJ49YBG2P4F69P5NV/classes/01HB0HJZ1B7JAZVRMS7JZM8D98/assignments/scores | 0.196 | 0.196 | 0.196   | 0.196 | 0.196 | 0.196 | 0.196 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/courses/01HB0HHFG7NN8TDD5XF0EZEYA5/classes/01HB0HK146SZFEDWXJSDJZSCJV/assignments/export | 1.312 | 1.312 | 1.312   | 1.312 | 1.312 | 1.312 | 1.312 | 0.000  | 636189.000  | 636189.000  | 636189.000   | 636189.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/courses/01HB0HJSR469A3G4948FXCEXJ1/classes                                               | 1.404 | 1.404 | 1.404   | 1.404 | 1.404 | 1.404 | 1.404 | 0.000  | 42.000      | 42.000      | 42.000       | 42.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/courses/01HB0HJMM6B12TB5Y3E3QKPVGE/classes/01HB0HK29TDEA8G3HDQW9F2RKF/assignments/export | 2.996 | 2.996 | 2.996   | 2.996 | 2.996 | 2.996 | 2.996 | 0.000  | 117899.000  | 117899.000  | 117899.000   | 117899.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/courses/01HB0HJR7T4PC8F278H2V5CJ2S/classes                                               | 2.032 | 2.032 | 2.032   | 2.032 | 2.032 | 2.032 | 2.032 | 0.000  | 42.000      | 42.000      | 42.000       | 42.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/courses/01HB0HJR6S2DVBJQZTTVD7FH5Q/classes/01HB0HK5R22R8FMGQEHKJKCS6P/assignments        | 0.900 | 0.900 | 0.900   | 0.900 | 0.900 | 0.900 | 0.900 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/courses/01HB0HHHJ8VF8J1R5HM79B90PS/classes                                               | 0.588 | 0.588 | 0.588   | 0.588 | 0.588 | 0.588 | 0.588 | 0.000  | 210.000     | 210.000     | 210.000      | 210.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/courses/01HB0HHGT60HHYAR2AEE8JP2G2/classes/01HB0HK2GTC8ZXKAQ0M3SCRR0N/assignments/export | 2.000 | 2.000 | 2.000   | 2.000 | 2.000 | 2.000 | 2.000 | 0.000  | 141801.000  | 141801.000  | 141801.000   | 141801.000  |
